shopName,productName,price,oldPrice,discount,oz,zip,productLink,image
Safeway,"Darigold Whole Milk, Old Fashioned Chocolate",$5.19,N/A,10% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_739166581,https://www.instacart.com/assets/domains/product-image/file/large_7ed96ccc-b49c-4e72-93ba-fac81d18a5e8.jpg
Safeway,"Not Milk Milk Alternative, 2% Reduced Fat, Plant-Based",$5.19,N/A,10% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_88481170279,https://www.instacart.com/assets/domains/product-image/file/large_0f5d56c6-7301-49ed-80f3-5bb4f528f89b.png
Safeway,"a2 Milk Half and Half, Ultra-Pasteurized",$5.79,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_88733436714,https://www.instacart.com/assets/domains/product-image/file/large_de3838eb-5d82-43a2-a833-22f03df491ec.png
Safeway,"Not Milk Milk Alternative, Whole",$5.19,N/A,10% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_88481136538,https://www.instacart.com/assets/domains/product-image/file/large_75ede72e-33f0-48ac-98ef-77e99d9d47a8.png
Safeway,milkadamia Unsweetened,$6.39,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_3646679007,https://www.instacart.com/assets/domains/product-image/file/large_bf91bee6-ab79-4c33-bf24-80275d52dbc0.png
Safeway,milkadamia Lightly Sweetened,$6.39,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_3639631065,https://www.instacart.com/assets/domains/product-image/file/large_527e07d7-9175-4b7e-8a6a-08f5c2e85c64.png
Safeway,"Lucerne Milk, Reduced Fat, 2% Milkfat",$6.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182161228,https://www.instacart.com/assets/domains/product-image/file/large_36f385f2-6391-4f3c-b879-aedf80d4a29c.png
Safeway,"Lucerne Milk, Vitamin D, Ultra-Pasteurized",$2.29,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182371032,https://www.instacart.com/assets/domains/product-image/file/large_907af1d2-3776-42f1-bc63-5ded0695ff01.png
Safeway,"Lucerne Milk, Reduced Fat, 2% Milkfat",$2.29,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182381183,https://www.instacart.com/assets/domains/product-image/file/large_20540419-58b7-45ca-9817-d4cfb4867764.png
Safeway,"O Organics Milk, Organic, Reduced Fat, 2% Milkfat",$7.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182356453,https://www.instacart.com/assets/domains/product-image/file/large_d9e6ddef-148f-4d54-94ec-23efb35a6ddc.png
Safeway,Lucerne Dairy farms Milk,$6.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182151770,https://www.instacart.com/assets/domains/product-image/file/large_07319d98-f94a-4e0b-917e-25c2a4ee8ad5.png
Safeway,Horizon Organic Whole High Vitamin D Milk,$7.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182343272,https://www.instacart.com/assets/domains/product-image/file/large_f8cfc4fe-2011-4fc5-9144-5339f06e3222.jpg
Safeway,Horizon Organic Reduced Fat Milk,$7.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182337449,https://www.instacart.com/assets/domains/product-image/file/large_0d62f1b0-1e10-4744-9f59-c59ab3398be7.jpg
Safeway,Meyenberg Goat Milk,$7.49,N/A,14% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182458087,https://www.instacart.com/assets/domains/product-image/file/large_d9b3278a-645b-4c1d-9f9e-96b6b09fdd97.png
Safeway,Califia Farms Original Protein Oat Milk,$5.19,N/A,31% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_3648201670,https://www.instacart.com/assets/domains/product-image/file/large_07a9d491-cb8c-4ef8-bb4a-1da6ff5f521a.png
Safeway,Califia Farms Toasted Coconut Almondmilk,$5.79,N/A,9% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_340431252,https://www.instacart.com/assets/domains/product-image/file/large_446c4dcf-1253-423c-b32b-940a73396cce.png
Costco,"Califia Farms Unsweetened Almondmilk, 2 x 48 fl oz",$7.20,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_1381593209,https://www.instacart.com/assets/domains/product-image/file/large_2b434133-04dc-45ea-9c56-1dc8d88e3fd5.jpg
Costco,"Silk Organic Unsweetened Almondmilk, 3 x 64 fl oz",$12.43,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_87220573997,https://www.instacart.com/assets/domains/product-image/file/large_f6832616-1997-4338-9d71-7477543c9f2d.jpg
Costco,"Silk Oatmilk, Original Extra Creamy, 3 x 64 fl oz",$10.31,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_3867955802,https://www.instacart.com/assets/domains/product-image/file/large_7d59e078-4626-4f2a-ab49-fc6f33c10a64.jpg
Costco,"Silk Organic Unsweetened Vanilla Almondmilk, 3 x 64 fl oz",$12.43,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_13011250,https://www.instacart.com/assets/domains/product-image/file/large_a1177ceb-2001-4df4-afd3-b791f921eab9.jpg
Costco,"Silk Organic Original Almondmilk, 3 x 64 fl oz",$12.43,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_24568962,https://www.instacart.com/assets/domains/product-image/file/large_626e8ed4-e6df-47c1-9a4a-1a750bd70bfc.jpg
Costco,"Silk Organic Vanilla Soymilk, 3 x 64 fl oz",$11.18,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_6354179,https://www.instacart.com/assets/domains/product-image/file/large_e914961d-2b75-4ff4-8977-34704f9ca1b6.jpg
Costco,"Kirkland Signature Homogenized Milk, 2 gal",$9.57,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_455013132,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b99b1e5a-fd32-4204-b79e-9f5cf7db7550.jpeg
Costco,"Kirkland Signature 2% Reduced Fat Milk, 2 x 1 gal",$8.94,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_17273150681,https://www.instacart.com/assets/domains/product-image/file/large_1985e80f-b00f-4980-b0f6-bc7ff2e0df3b.jpg
Costco,Kirkland Signature A2 Protein Organic Whole Milk 3 x 1/2 gal,$15.41,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_1875890290,https://www.instacart.com/assets/domains/product-image/file/large_1aa91825-6198-48e0-80ac-000a7114ae3b.jpg
Costco,"Kirkland Signature Organic 2% Lactose Free Milk, 3 x 64 fl oz",$13.42,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_99664368,https://www.instacart.com/assets/domains/product-image/file/large_a44a693b-f286-4368-9980-b2390009931f.jpg
Costco,"Kirkland Signature Nonfat Milk, 2 x 1 gal",$6.95,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_336294251,https://www.instacart.com/assets/domains/product-image/file/large_98f728a4-92a7-495a-93bf-3b5a96e3b64d.jpeg
Costco,"Kirkland Signature Original Almond Beverage, 12 x 32 fl oz",$14.92,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_556839518,https://www.instacart.com/assets/domains/product-image/file/large_e4ec71a6-f5a8-4e56-b890-e7b49a029ed4.jpeg
Costco,"Producers Organic Whole Milk, 2 x 1 gal",$13.42,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_524422026,https://www.instacart.com/assets/domains/product-image/file/large_3c9e3f08-181a-424c-8429-ab02144a28a8.jpeg
Costco,"Producers Organic 2% Milk, 2 x 1 gal",$13.05,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_543381828,https://www.instacart.com/assets/domains/product-image/file/large_d501661e-70f5-4299-af94-939c946a9ac5.jpeg
Costco,"Horizon Organic Whole Shelf-Stable Milk, 18 x 8 fl oz",$23.37,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_695493936,https://www.instacart.com/assets/domains/product-image/file/large_46ce215f-2d41-4e8f-b069-e7deb44b6bea.jpeg
Costco,"Silk Oatmilk, Original Extra Creamy, 3 x 64 fl oz",$10.31,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_3867955802,https://www.instacart.com/assets/domains/product-image/file/large_7d59e078-4626-4f2a-ab49-fc6f33c10a64.jpg
FoodsCo,"a2 Milk Milk, Whole",$4.99,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_58279383831,https://www.instacart.com/assets/domains/product-image/file/large_18f2ea08-90a3-4efd-8cb7-775bed090ce0.png
FoodsCo,a2 Milk 2% Reduced Fat Milk - Fortified,$4.99,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_58279752925,https://www.instacart.com/assets/domains/product-image/file/large_90dc5120-f164-4697-919c-4ccb9eec8110.png
FoodsCo,Califia Farms Oat Barista Blend Oat Milk,$4.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_58279382292,https://www.instacart.com/assets/domains/product-image/file/large_0d8c53b9-3be9-49ea-b405-66f2dc466627.png
FoodsCo,Mountain Dairy Whole Milk With Vitamin D,$4.29,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_627232981,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5440d2e5-8d95-4367-b99b-79a1639502d5.jpeg
FoodsCo,Mountain Dairy Reduced Fat Milk,$4.19,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_695784546,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c15d8bed-7751-4d1e-b043-478c68989db8.jpeg
FoodsCo,2% Reduced Fat Free Milk,$4.39,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_1340032989,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c11f1ddc-7dda-4e64-a664-6aa554b65f73.jpeg
FoodsCo,Kroger Vitamin D Whole Milk,$2.19,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_717067912,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_91718be9-8461-4117-8c8d-deb30e5c48fb.jpeg
FoodsCo,Kroger Vitamin D Whole Milk,$4.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_690458589,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7575c6ac-7804-4bd4-b604-b4318a124cb3.jpeg
FoodsCo,Horizon Organic Reduced Fat Milk,$4.99,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_427587078,https://www.instacart.com/assets/domains/product-image/file/large_0d62f1b0-1e10-4744-9f59-c59ab3398be7.jpg
FoodsCo,Horizon Organic Whole High Vitamin D Milk,$4.99,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_427598937,https://www.instacart.com/assets/domains/product-image/file/large_f8cfc4fe-2011-4fc5-9144-5339f06e3222.jpg
FoodsCo,Califia Farms Unsweetened Almondmilk,$4.79,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_427586745,https://www.instacart.com/assets/domains/product-image/file/large_2c0ea282-8f91-4ac5-a2b0-629e83d284a1.png
FoodsCo,Califia Farms Zero Sugar Oat Milk,$4.79,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_58279751072,https://www.instacart.com/assets/domains/product-image/file/large_aa8ec6d1-893a-493d-9cc6-205d74610ab3.png
FoodsCo,Califia Farms Toasted Coconut Almondmilk,$4.79,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_427607527,https://www.instacart.com/assets/domains/product-image/file/large_446c4dcf-1253-423c-b32b-940a73396cce.png
FoodsCo,"Crystal Milk, Whole, Vitamin D",$3.29,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_427728064,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7e3ce83f-7509-42e6-b588-0111de34d224.jpeg
FoodsCo,Horizon Organic Vitamin D DHA Omega 3 Organic Milk,$4.99,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_427602484,https://www.instacart.com/assets/domains/product-image/file/large_f361716f-f9b2-46f1-bf81-2d0cecbe88ce.jpg
FoodsCo,Alta Dena Milk Whole Vitamin D,$3.29,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_149127505196,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_90b3aa7c-d275-4c24-9c27-9beb77babcc4.png
Cardenas Markets,Califia Farms Unsweetened Almondmilk,$5.05,N/A,8% off,N/A,Pickup at 320 N. Capitol Ave,https://www.instacart.com/store/items/item_2318383042,https://www.instacart.com/assets/domains/product-image/file/large_2c0ea282-8f91-4ac5-a2b0-629e83d284a1.png
Cardenas Markets,Cardenas Milk,$5.49,N/A,N/A,N/A,Pickup at 320 N. Capitol Ave,https://www.instacart.com/store/items/item_2533136461,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4c43f446-dede-4767-a89a-b9514258787c.jpg
Cardenas Markets,Cardenas 2% Reduced Fat Milk,$5.49,N/A,N/A,N/A,Pickup at 320 N. Capitol Ave,https://www.instacart.com/store/items/item_2534111846,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_66a9720f-3ffb-432f-86f9-8a9f572fbe71.jpg
Cardenas Markets,Berkeley Farms Milk,$3.84,N/A,N/A,N/A,Pickup at 320 N. Capitol Ave,https://www.instacart.com/store/items/item_2318381797,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_60039b36-9550-49b9-82ca-351258e47623.jpg
Cardenas Markets,Berkeley Farms Whole Milk,$6.59,N/A,N/A,N/A,Pickup at 320 N. Capitol Ave,https://www.instacart.com/store/items/item_2318342787,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1d11dce1-0797-4fe5-a3a4-e4128071af8b.jpg
Cardenas Markets,Berkeley Farms 2% Milkfat Milk,$6.59,N/A,N/A,N/A,Pickup at 320 N. Capitol Ave,https://www.instacart.com/store/items/item_2318377227,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7473aa78-470d-4582-a0c6-e7340b19d78e.jpg
